State,Food Retail
"ARMADALE, CITY OF", 12
"BASSENDEAN, TOWN OF ",34
"BAYSWATER, CITY OF",28
"BELMONT, CITY OF",34
"CANNING, CITY OF",46
"CAMBRIDGE, TOWN OF",67
"CLAREMONT, TOWN OF",89
"COCKBURN, CITY OF",41
"COTTESLOE, TOWN OF",23
"EAST FREMANTLE, TOWN OF",56
"FREMANTLE, CITY OF",78
"GOSNELLS, CITY OF",34
"JOONDALUP, CITY OF",23
"KALAMUNDA, CITY OF",38
"KWINANA, CITY OF",98
"MELVILLE, CITY OF",34
"MOSMAN PARK, TOWN OF",23
"MUNDARING, SHIRE OF",28
"MURRAY, SHIRE OF",34
"NEDLANDS, CITY OF",78
"PERTH, CITY OF",31
"PEPPERMINT GROVE, SHIRE OF",12
"ROCKINGHAM, CITY OF",96
"SERPENTINE-JARRAHDALE, SHIRE OF",12
"SOUTH PERTH, CITY OF",32
"SUBIACO, CITY OF",35
"STIRLING, CITY OF",37
"SWAN, CITY OF",34
"VICTORIA PARK, TOWN OF",12
"VINCENT, CITY OF",23
"WANNEROO, CITY OF",56
